restaurant_id,restaurant_name,rating,n_comment,rank,url
29,Domicile Kitchen & Lounge,4,238,"#29 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6673509-Reviews-Domicile_Kitchen_Lounge-Surabaya_East_Java_Java.html
30,Lobby Lounge at JW Marriott Hotel Surabaya,4.5,76,"#30 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4168235-Reviews-Lobby_Lounge_at_JW_Marriott_Hotel_Surabaya-Surabaya_East_Java_Java.html
31,Lung Yuan Chinese Restaurant,4.5,71,"#31 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7063385-Reviews-Lung_Yuan_Chinese_Restaurant-Surabaya_East_Java_Java.html
32,Masakan Khas Bu Rudy,4,135,"#32 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4233469-Reviews-Masakan_Khas_Bu_Rudy-Surabaya_East_Java_Java.html
33,Pasar Malem - Siti Inggil,4.5,62,"#33 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4746958-Reviews-Pasar_Malem_Siti_Inggil-Surabaya_East_Java_Java.html
34,Happy Suzy,4,160,"#34 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3931436-Reviews-Happy_Suzy-Surabaya_East_Java_Java.html
35,Dream of Kahyangan Art Resto,4,95,"#35 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3451341-Reviews-Dream_of_Kahyangan_Art_Resto-Surabaya_East_Java_Java.html
36,Gojumong Surabaya,4.5,59,"#36 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7266592-Reviews-Gojumong_Surabaya-Surabaya_East_Java_Java.html
37,Bebek Palupi,4,79,"#37 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7790773-Reviews-Bebek_Palupi-Surabaya_East_Java_Java.html
38,Vis a Vis French Restaurant,4.5,62,"#38 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4168229-Reviews-Vis_a_Vis_French_Restaurant-Surabaya_East_Java_Java.html
39,Citilites Skyclub and Bistro,4,127,"#39 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3521057-Reviews-Citilites_Skyclub_and_Bistro-Surabaya_East_Java_Java.html
40,Carpentier Kitchen,4,106,"#40 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8790256-Reviews-Carpentier_Kitchen-Surabaya_East_Java_Java.html
41,Bon Cafe,4,86,"#41 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4233390-Reviews-Bon_Cafe-Surabaya_East_Java_Java.html
42,Boncafe Gubeng,4,139,"#42 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6488127-Reviews-Boncafe_Gubeng-Surabaya_East_Java_Java.html
43,Ayam Goreng President,4,124,"#43 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3381354-Reviews-Ayam_Goreng_President-Surabaya_East_Java_Java.html
44,Moi Garden Restaurant,4.5,100,"#44 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7141354-Reviews-Moi_Garden_Restaurant-Surabaya_East_Java_Java.html
45,Tang Palace Chinese Restaurant,4.5,61,"#45 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4168238-Reviews-Tang_Palace_Chinese_Restaurant-Surabaya_East_Java_Java.html
46,Rawon Setan (Devil's Rawon),3.5,433,"#46 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3250445-Reviews-Rawon_Setan_Devil_s_Rawon-Surabaya_East_Java_Java.html
47,Jamoo,4,125,"#47 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3568676-Reviews-Jamoo-Surabaya_East_Java_Java.html
48,Pondok Tempo Doeloe,4,94,"#48 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1049519-Reviews-Pondok_Tempo_Doeloe-Surabaya_East_Java_Java.html
49,Cocari,4,86,"#49 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4233446-Reviews-Cocari-Surabaya_East_Java_Java.html
50,Sitara India Cuisine,4,107,"#50 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1990527-Reviews-Sitara_India_Cuisine-Surabaya_East_Java_Java.html
51,Boncafe Manyar Kertoarjo,4.5,62,"#51 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d6488146-Reviews-Boncafe_Manyar_Kertoarjo-Surabaya_East_Java_Java.html
52,Sate Ayam Pak Seger,4,74,"#52 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4414580-Reviews-Sate_Ayam_Pak_Seger-Surabaya_East_Java_Java.html
53,Restaurant Kepiting Cak Gundul,4,101,"#53 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4750187-Reviews-Restaurant_Kepiting_Cak_Gundul-Surabaya_East_Java_Java.html
54,Bakso Pak Nur Trunojoyo,4,65,"#54 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8599818-Reviews-Bakso_Pak_Nur_Trunojoyo-Surabaya_East_Java_Java.html
55,Our Bar,4,78,"#55 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d10821062-Reviews-Our_Bar-Surabaya_East_Java_Java.html
56,Boncafe Restaurant,4,95,"#56 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1587013-Reviews-Boncafe_Restaurant-Surabaya_East_Java_Java.html
57,Warung Leko,4,66,"#57 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8139774-Reviews-Warung_Leko-Surabaya_East_Java_Java.html
58,Gatherinc,4.5,40,"#58 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d12128881-Reviews-Gatherinc-Surabaya_East_Java_Java.html
59,Soto Cak To,4,62,"#59 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1122702-Reviews-Soto_Cak_To-Surabaya_East_Java_Java.html
60,Halim restaurant,4,53,"#60 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d4508346-Reviews-Halim_restaurant-Surabaya_East_Java_Java.html
61,Soto Ambengan,4,98,"#61 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d966022-Reviews-Soto_Ambengan-Surabaya_East_Java_Java.html
62,La Rucola Mediterranean Restaurant,4,342,"#62 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d1208177-Reviews-La_Rucola_Mediterranean_Restaurant-Surabaya_East_Java_Java.html
63,Nasi Empal Pengampon,4,53,"#63 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3155926-Reviews-Nasi_Empal_Pengampon-Surabaya_East_Java_Java.html
64,Bakmi Jogja Trunojoyo,4,45,"#64 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d7174260-Reviews-Bakmi_Jogja_Trunojoyo-Surabaya_East_Java_Java.html
65,Gyu-Kaku Japanese BBQ,4.5,39,"#65 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d11706326-Reviews-Gyu_Kaku_Japanese_BBQ-Surabaya_East_Java_Java.html
66,Fusia,4,59,"#66 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d3623244-Reviews-Fusia-Surabaya_East_Java_Java.html
67,Rawon Kalkulator,4,82,"#67 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8728388-Reviews-Rawon_Kalkulator-Surabaya_East_Java_Java.html
68,Restoran Padang Sederhana,4,47,"#68 of 1,778 Restaurants in Surabaya",https://www.tripadvisor.com/Restaurant_Review-g297715-d8657580-Reviews-Restoran_Padang_Sederhana-Surabaya_East_Java_Java.html
